waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "ids") / VAR("w_nmos"))) (l_nmos=1.8e-07) X,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "ids") / VAR("w_nmos"))) (l_nmos=1.8e-07) Y,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "ids") / VAR("w_nmos"))) (l_nmos=1.08e-06) X,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "ids") / VAR("w_nmos"))) (l_nmos=1.08e-06) Y,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "ids") / VAR("w_nmos"))) (l_nmos=1.26e-06) X,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "ids") / VAR("w_nmos"))) (l_nmos=1.26e-06) Y,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "ids") / VAR("w_nmos"))) (l_nmos=3.6e-07) X,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "ids") / VAR("w_nmos"))) (l_nmos=3.6e-07) Y,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "ids") / VAR("w_nmos"))) (l_nmos=5.4e-07) X,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "ids") / VAR("w_nmos"))) (l_nmos=5.4e-07) Y,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "ids") / VAR("w_nmos"))) (l_nmos=7.2e-07) X,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "ids") / VAR("w_nmos"))) (l_nmos=7.2e-07) Y,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "ids") / VAR("w_nmos"))) (l_nmos=9e-07) X,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "ids") / VAR("w_nmos"))) (l_nmos=9e-07) Y
33.26824670060128,3.935091858033482e-06,33.9615413596073,6.073481967138437e-06,34.02603619830424,6.195542892374702e-06,33.54026772346261,5.319397119427533e-06,33.65721845727543,5.959224268336673e-06,33.80478162354624,6.058315323043589e-06,33.89113656809367,6.029974016418376e-06
33.01219581067453,0.0001572646293071284,33.2612782816297,0.0002577516293288434,33.26518178231858,0.0002642010843900411,33.14629741953333,0.0002179927581959056,33.16002990037217,0.0002464302728199159,33.22926351585718,0.0002538972778358179,33.25184831708949,0.000254513113552731
31.41750750430828,0.005755371910326081,29.67753504953486,0.008865428569587469,29.45788434303596,0.00899250226969108,30.89354272170574,0.007871782841690924,30.44626959159698,0.008729427869323805,30.15591192242148,0.008915410093781483,29.90790376853265,0.008846114885477256
25.96492059880638,0.145805118057958,22.65228190035613,0.1635262927866909,22.34148142594088,0.1606577909258457,24.65074093934644,0.1775870059428821,23.89513721834658,0.1824251944221062,23.36956126260144,0.1769920722376332,22.98778711210601,0.1688980586879779
19.11714884795404,1.753676640402478,15.54030439334575,1.365126583937131,15.20041897661382,1.292511643115343,17.78442887217806,1.8688154902016,16.91832181307442,1.762512797338448,16.32936942732603,1.607935459966636,15.90897356576898,1.467124413051044
13.06465169342935,10.49278413967951,9.793945037224955,5.441730608042652,9.562409969691876,4.988087680214801,11.40898759094573,9.333174372451372,10.73056487512804,8.027154308258083,10.31910446812206,6.910495414835776,10.04100591928699,6.057244729819515
8.110484992268306,33.31412748500671,6.516924071665684,13.2227387858643,6.376240593449439,11.87962498100318,7.261789626208997,25.74487383383781,6.989294506292176,21.03650593976584,6.790255413638103,17.52611534716529,6.654077341649156,15.025376570895
5.247645520115212,68.86725851372944,4.52949845896662,24.27557271482055,4.424519833086697,21.5211182882987,4.935650281392795,50.12136560499564,4.831839931402501,40.21083698144662,4.712337603040083,32.95657639507741,4.625844381947797,27.93047737711414
3.595368291020394,111.7498298727649,3.022365372677839,36.74049884083572,2.959278975316795,32.26608354459327,3.379065028678163,79.23270984636667,3.234654027670893,62.68527189461877,3.14211460693833,50.75155652486715,3.081255503931629,42.64834380839771
2.484081737448065,156.0915528207437,2.066824584714942,48.53037312815129,2.03268249436459,42.39952300793274,2.280489787869051,108.0120410196396,2.181078291334325,84.27505664924774,2.130972377738818,67.70632414612533,2.09875660483625,56.61199837071302
