waveVsWave(?x (- (OP("/PM0" "gm") / OP("/PM0" "ids"))) ?y (OP("/PM0" "gm") / (2 * pi * OP("/PM0" "cgg")))) (l_pmos=1.8e-07) X,waveVsWave(?x (- (OP("/PM0" "gm") / OP("/PM0" "ids"))) ?y (OP("/PM0" "gm") / (2 * pi * OP("/PM0" "cgg")))) (l_pmos=1.8e-07) Y,waveVsWave(?x (- (OP("/PM0" "gm") / OP("/PM0" "ids"))) ?y (OP("/PM0" "gm") / (2 * pi * OP("/PM0" "cgg")))) (l_pmos=1.08e-06) X,waveVsWave(?x (- (OP("/PM0" "gm") / OP("/PM0" "ids"))) ?y (OP("/PM0" "gm") / (2 * pi * OP("/PM0" "cgg")))) (l_pmos=1.08e-06) Y,waveVsWave(?x (- (OP("/PM0" "gm") / OP("/PM0" "ids"))) ?y (OP("/PM0" "gm") / (2 * pi * OP("/PM0" "cgg")))) (l_pmos=1.26e-06) X,waveVsWave(?x (- (OP("/PM0" "gm") / OP("/PM0" "ids"))) ?y (OP("/PM0" "gm") / (2 * pi * OP("/PM0" "cgg")))) (l_pmos=1.26e-06) Y,waveVsWave(?x (- (OP("/PM0" "gm") / OP("/PM0" "ids"))) ?y (OP("/PM0" "gm") / (2 * pi * OP("/PM0" "cgg")))) (l_pmos=3.6e-07) X,waveVsWave(?x (- (OP("/PM0" "gm") / OP("/PM0" "ids"))) ?y (OP("/PM0" "gm") / (2 * pi * OP("/PM0" "cgg")))) (l_pmos=3.6e-07) Y,waveVsWave(?x (- (OP("/PM0" "gm") / OP("/PM0" "ids"))) ?y (OP("/PM0" "gm") / (2 * pi * OP("/PM0" "cgg")))) (l_pmos=5.4e-07) X,waveVsWave(?x (- (OP("/PM0" "gm") / OP("/PM0" "ids"))) ?y (OP("/PM0" "gm") / (2 * pi * OP("/PM0" "cgg")))) (l_pmos=5.4e-07) Y,waveVsWave(?x (- (OP("/PM0" "gm") / OP("/PM0" "ids"))) ?y (OP("/PM0" "gm") / (2 * pi * OP("/PM0" "cgg")))) (l_pmos=7.2e-07) X,waveVsWave(?x (- (OP("/PM0" "gm") / OP("/PM0" "ids"))) ?y (OP("/PM0" "gm") / (2 * pi * OP("/PM0" "cgg")))) (l_pmos=7.2e-07) Y,waveVsWave(?x (- (OP("/PM0" "gm") / OP("/PM0" "ids"))) ?y (OP("/PM0" "gm") / (2 * pi * OP("/PM0" "cgg")))) (l_pmos=9e-07) X,waveVsWave(?x (- (OP("/PM0" "gm") / OP("/PM0" "ids"))) ?y (OP("/PM0" "gm") / (2 * pi * OP("/PM0" "cgg")))) (l_pmos=9e-07) Y
2.313999579775471,25294993156.93597,2.375593050057308,1368886061.358393,2.360905072629656,1015089046.835939,2.32586959098215,9400092333.173391,2.346462650846358,4878457336.362421,2.370745791074433,2926782852.719154,2.380489050368044,1936817086.326426
3.028492772199795,24778588057.7888,3.052621577640715,1306184904.355383,3.034145621795306,970634847.2613475,2.999680343242724,9064203192.694475,3.027690997931201,4690966210.211862,3.052573075872765,2799714745.012207,3.060784914707759,1847912181.368692
4.191189404890773,23367829151.15574,3.938224219853002,1152579521.187145,3.906558315616073,856939145.1946387,4.007700945250803,8307490005.121325,3.985175975711335,4226864497.734311,3.977937882118213,2492571231.010045,3.963498990462211,1634325350.025371
6.440759225158348,20842014774.91716,5.411115442354757,963311633.7629967,5.34140912842122,716086426.8117476,5.850119369669692,7246333907.515691,5.670202186081098,3616983697.684954,5.56542906435481,2104730164.997303,5.485199115724579,1369924967.210351
11.60601997739029,15709222445.98021,8.735243324908401,756821301.8794023,8.550107395470231,564146442.9878016,10.18914214240368,5697592576.646448,9.601322749104636,2846949097.20259,9.222876565669193,1652561868.408883,8.953473808696504,1074761801.157371
21.15227454312188,6124058762.475067,17.44173353480854,422647235.2870274,17.04059088123376,323206374.0637875,20.05538707425794,2620623299.241679,19.16347426283416,1412150385.192775,18.45757051093087,863126866.1635345,17.90565936032448,582432966.9014624
28.82062060887611,807702950.1196088,27.72752636497255,72214290.95298341,27.56999808788441,57363387.74769534,28.57321925349247,371321115.0001537,28.26814189473141,210450980.3744179,28.07497544460989,135339631.3091817,27.89576189815994,95506710.79883745
32.88858184297924,38021465.19902235,32.86605947314944,5633770.034532653,32.8039171733176,4552030.622614923,33.00949036482274,23015990.01686694,32.94190231828902,14677210.8264227,32.95342481663319,9973344.529709343,32.91976987807838,7280236.399975731
34.2703296418971,942682.4937845005,35.12833451628144,189257.3456574045,35.16562779999842,158225.983912921,34.64087811722003,615382.1250027773,34.78409400606538,427495.479144068,34.96590939123881,307082.3949989497,35.06766234980874,234984.7068658132
34.66845927201526,19732.93250428844,35.76244971502399,3571.094805670818,35.82369847731548,2983.038495727984,35.12756972303355,12196.73052085918,35.32490595881819,8322.479849002559,35.54393064116385,5865.878560675065,35.67549135184425,4449.886205419485
