waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") / (2 * pi * OP("/NM0" "cgg")))) (l_nmos=1.8e-07) X,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") / (2 * pi * OP("/NM0" "cgg")))) (l_nmos=1.8e-07) Y,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") / (2 * pi * OP("/NM0" "cgg")))) (l_nmos=1.08e-06) X,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") / (2 * pi * OP("/NM0" "cgg")))) (l_nmos=1.08e-06) Y,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") / (2 * pi * OP("/NM0" "cgg")))) (l_nmos=1.26e-06) X,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") / (2 * pi * OP("/NM0" "cgg")))) (l_nmos=1.26e-06) Y,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") / (2 * pi * OP("/NM0" "cgg")))) (l_nmos=3.6e-07) X,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") / (2 * pi * OP("/NM0" "cgg")))) (l_nmos=3.6e-07) Y,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") / (2 * pi * OP("/NM0" "cgg")))) (l_nmos=5.4e-07) X,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") / (2 * pi * OP("/NM0" "cgg")))) (l_nmos=5.4e-07) Y,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") / (2 * pi * OP("/NM0" "cgg")))) (l_nmos=7.2e-07) X,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") / (2 * pi * OP("/NM0" "cgg")))) (l_nmos=7.2e-07) Y,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") / (2 * pi * OP("/NM0" "cgg")))) (l_nmos=9e-07) X,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") / (2 * pi * OP("/NM0" "cgg")))) (l_nmos=9e-07) Y
33.26824670060128,32448.23294025871,33.9615413596073,14296.095854627,34.02603619830424,12768.04875572062,33.54026772346261,29236.09236416576,33.65721845727543,24537.00365841487,33.80478162354624,19967.19388715112,33.89113656809367,16556.96282315297
33.01219581067453,1334556.919218864,33.2612782816297,552916.8609247538,33.26518178231858,488235.4709254009,33.14629741953333,1199117.221595847,33.16002990037217,982873.6334293291,33.22926351585718,791732.122841977,33.25184831708949,648259.2394284538
31.41750750430828,41881466.51850052,29.67753504953486,10189340.14698948,29.45788434303596,8659028.61842745,30.89354272170574,30332136.307025,30.44626959159698,21648747.0929992,30.15591192242148,16153748.486521,29.90790376853265,12501868.6905506
25.96492059880638,581177362.6528516,22.65228190035613,81277842.97797558,22.34148142594088,67006398.76272637,24.65074093934644,314467614.1005312,23.89513721834658,199787974.3559554,23.36956126260144,139463924.2150899,22.98778711210601,103292093.5969662
19.11714884795404,3358124573.333642,15.54030439334575,346457687.8928695,15.20041897661382,276097571.3239816,17.78442887217806,1631247628.420471,16.91832181307442,968513315.4717531,16.32936942732603,640736300.996106,15.90897356576898,456280115.9054301
13.06465169342935,10964503192.05539,9.793945037224955,773365263.1706846,9.562409969691876,598608302.7213989,11.40898759094573,4419849932.592799,10.73056487512804,2422688167.052391,10.31910446812206,1524925333.078483,10.04100591928699,1050033663.871582
8.110484992268306,19701381974.21112,6.516924071665684,1189744451.920398,6.376240593449439,905439614.5980694,7.261789626208997,7258381662.39028,6.989294506292176,3902868422.601487,6.790255413638103,2411573494.2607,6.654077341649156,1639651237.17346
5.247645520115212,25353776257.82542,4.52949845896662,1473608933.299101,4.424519833086697,1102836968.327761,4.935650281392795,9317655885.418894,4.831839931402501,5013489588.893384,4.712337603040083,3059395106.780227,4.625844381947797,2058926497.298409
3.595368291020394,27640034121.06397,3.022365372677839,1442304832.146018,2.959278975316795,1066588168.04418,3.379065028678163,9889953723.194155,3.234654027670893,5121628963.722186,3.14211460693833,3065417517.422094,3.081255503931629,2037320883.056984
2.484081737448065,26294887937.15365,2.066824584714942,1250223354.58489,2.03268249436459,918793713.0477986,2.280489787869051,8919366862.451073,2.181078291334325,4526747920.45703,2.130972377738818,2687891108.125365,2.09875660483625,1776665527.165188
