waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") * OP("/NM0" "rout"))) (l_nmos=1.8e-07) X,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") * OP("/NM0" "rout"))) (l_nmos=1.8e-07) Y,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") * OP("/NM0" "rout"))) (l_nmos=1.08e-06) X,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") * OP("/NM0" "rout"))) (l_nmos=1.08e-06) Y,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") * OP("/NM0" "rout"))) (l_nmos=1.26e-06) X,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") * OP("/NM0" "rout"))) (l_nmos=1.26e-06) Y,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") * OP("/NM0" "rout"))) (l_nmos=3.6e-07) X,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") * OP("/NM0" "rout"))) (l_nmos=3.6e-07) Y,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") * OP("/NM0" "rout"))) (l_nmos=5.4e-07) X,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") * OP("/NM0" "rout"))) (l_nmos=5.4e-07) Y,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") * OP("/NM0" "rout"))) (l_nmos=7.2e-07) X,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") * OP("/NM0" "rout"))) (l_nmos=7.2e-07) Y,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") * OP("/NM0" "rout"))) (l_nmos=9e-07) X,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") * OP("/NM0" "rout"))) (l_nmos=9e-07) Y
33.26824670060128,27.84609025473892,33.9615413596073,41.72659601480984,34.02603619830424,43.50571741418804,33.54026772346261,32.30367804487241,33.65721845727543,35.1764431812375,33.80478162354624,37.69835222295126,33.89113656809367,39.81527810007342
33.01219581067453,27.71972914694112,33.2612782816297,41.30333519497145,33.26518178231858,43.02725329610034,33.14629741953333,32.09747123580198,33.16002990037217,34.90660485608079,33.22926351585718,37.37569195572181,33.25184831708949,39.44359083818527
31.41750750430828,26.94566777873693,29.67753504953486,39.30506627182338,29.45788434303596,40.83822177363765,30.89354272170574,30.97676927130254,30.44626959159698,33.5266502486492,30.15591192242148,35.76678111983119,29.90790376853265,37.63685826087535
25.96492059880638,24.56946031535704,22.65228190035613,37.43644054922108,22.34148142594088,39.13372599350131,24.65074093934644,28.48813890414776,23.89513721834658,31.21313820868015,23.36956126260144,33.58602059194237,22.98778711210601,35.60930976919171
19.11714884795404,22.29732553600414,15.54030439334575,37.77387420067027,15.20041897661382,39.63665580550372,17.78442887217806,27.3588510699463,16.91832181307442,30.69028392581649,16.32936942732603,33.41836612004431,15.90897356576898,35.72740876115036
13.06465169342935,19.83540057271514,9.793945037224955,33.88522638412362,9.562409969691876,35.52713766828779,11.40898759094573,24.15289641957346,10.73056487512804,27.2469652207308,10.31910446812206,29.81206637482185,10.04100591928699,32.00266932218545
8.110484992268306,15.02882964633175,6.516924071665684,25.39011882783498,6.376240593449439,26.14522348387343,7.261789626208997,18.48612322556623,6.989294506292176,20.9228126304261,6.790255413638103,22.7863098705864,6.654077341649156,24.28220067478887
5.247645520115212,10.24904924888091,4.52949845896662,10.36651904911945,4.424519833086697,10.00130007915451,4.935650281392795,11.67850050324811,4.831839931402501,11.3021863129031,4.712337603040083,10.98422105543414,4.625844381947797,10.68378172056755
3.595368291020394,6.048880925689297,3.022365372677839,3.145521852461268,2.959278975316795,3.079683682967438,3.379065028678163,4.694790453238639,3.234654027670893,3.644753713771735,3.14211460693833,3.378109230018131,3.081255503931629,3.229854165446349
2.484081737448065,2.893969572370327,2.066824584714942,1.513370956033597,2.03268249436459,1.501229935005729,2.280489787869051,1.988157854490328,2.181078291334325,1.649832997599294,2.130972377738818,1.575033880146611,2.09875660483625,1.533837486038914
