waveVsWave(?x (- (OP("/PM0" "gm") / OP("/PM0" "ids"))) ?y (OP("/PM0" "gm") * OP("/PM0" "rout"))) (l_pmos=1.8e-07) X,waveVsWave(?x (- (OP("/PM0" "gm") / OP("/PM0" "ids"))) ?y (OP("/PM0" "gm") * OP("/PM0" "rout"))) (l_pmos=1.8e-07) Y,waveVsWave(?x (- (OP("/PM0" "gm") / OP("/PM0" "ids"))) ?y (OP("/PM0" "gm") * OP("/PM0" "rout"))) (l_pmos=1.08e-06) X,waveVsWave(?x (- (OP("/PM0" "gm") / OP("/PM0" "ids"))) ?y (OP("/PM0" "gm") * OP("/PM0" "rout"))) (l_pmos=1.08e-06) Y,waveVsWave(?x (- (OP("/PM0" "gm") / OP("/PM0" "ids"))) ?y (OP("/PM0" "gm") * OP("/PM0" "rout"))) (l_pmos=1.26e-06) X,waveVsWave(?x (- (OP("/PM0" "gm") / OP("/PM0" "ids"))) ?y (OP("/PM0" "gm") * OP("/PM0" "rout"))) (l_pmos=1.26e-06) Y,waveVsWave(?x (- (OP("/PM0" "gm") / OP("/PM0" "ids"))) ?y (OP("/PM0" "gm") * OP("/PM0" "rout"))) (l_pmos=3.6e-07) X,waveVsWave(?x (- (OP("/PM0" "gm") / OP("/PM0" "ids"))) ?y (OP("/PM0" "gm") * OP("/PM0" "rout"))) (l_pmos=3.6e-07) Y,waveVsWave(?x (- (OP("/PM0" "gm") / OP("/PM0" "ids"))) ?y (OP("/PM0" "gm") * OP("/PM0" "rout"))) (l_pmos=5.4e-07) X,waveVsWave(?x (- (OP("/PM0" "gm") / OP("/PM0" "ids"))) ?y (OP("/PM0" "gm") * OP("/PM0" "rout"))) (l_pmos=5.4e-07) Y,waveVsWave(?x (- (OP("/PM0" "gm") / OP("/PM0" "ids"))) ?y (OP("/PM0" "gm") * OP("/PM0" "rout"))) (l_pmos=7.2e-07) X,waveVsWave(?x (- (OP("/PM0" "gm") / OP("/PM0" "ids"))) ?y (OP("/PM0" "gm") * OP("/PM0" "rout"))) (l_pmos=7.2e-07) Y,waveVsWave(?x (- (OP("/PM0" "gm") / OP("/PM0" "ids"))) ?y (OP("/PM0" "gm") * OP("/PM0" "rout"))) (l_pmos=9e-07) X,waveVsWave(?x (- (OP("/PM0" "gm") / OP("/PM0" "ids"))) ?y (OP("/PM0" "gm") * OP("/PM0" "rout"))) (l_pmos=9e-07) Y
2.313999579775471,6.548244062592777,2.375593050057308,5.988567216569494,2.360905072629656,5.933613515433704,2.32586959098215,6.454927138961144,2.346462650846358,6.037502435069993,2.370745791074433,6.012087782385582,2.380489050368044,6.011392137142802
3.028492772199795,9.723915851327577,3.052621577640715,12.96787364868157,3.034145621795306,13.11071479967942,2.999680343242724,10.85626239674102,3.027690997931201,11.44832182483318,3.052573075872765,12.14608707474092,3.060784914707759,12.65671984235145
4.191189404890773,14.15795037634927,3.938224219853002,23.29657956921725,3.906558315616073,24.09472763765591,4.007700945250803,16.73660156581906,3.985175975711335,18.84537465769509,3.977937882118213,20.73176650313058,3.963498990462211,22.20072636954528
6.440759225158348,20.7392508068835,5.411115442354757,34.47170395204501,5.34140912842122,35.85830983255258,5.850119369669692,24.6784765392118,5.670202186081098,27.99148647526103,5.56542906435481,30.66927218961287,5.485199115724579,32.78030104238672
11.60601997739029,30.51281386002248,8.735243324908401,48.30947660363623,8.550107395470231,49.9849057066013,10.18914214240368,36.69403310251552,9.601322749104636,41.02999100387122,9.222876565669193,44.05175388805297,8.953473808696504,46.37989201990043
21.15227454312188,37.60928698432332,17.44173353480854,63.99344123638974,17.04059088123376,66.24589158548795,20.05538707425794,48.10095243147676,19.16347426283416,54.45720187361466,18.45757051093087,58.49027510434973,17.90565936032448,61.47619518104653
28.82062060887611,40.07120074181101,27.72752636497255,59.88153601077515,27.56999808788441,62.02398650931993,28.57321925349247,47.24496420219703,28.26814189473141,51.94376368304212,28.07497544460989,55.13870138799852,27.89576189815994,57.62874470038152
32.88858184297924,44.12485960972933,32.86605947314944,61.3081406132134,32.8039171733176,62.83645099995407,33.00949036482274,51.06366443408228,32.94190231828902,55.21939455023533,32.95342481663319,57.80968866909347,32.91976987807838,59.67603875712904
34.2703296418971,45.80788504750855,35.12833451628144,64.72244595059928,35.16562779999842,66.45224267190072,34.64087811722003,53.2665468805214,34.78409400606538,57.84054538128249,34.96590939123881,60.74888483527842,35.06766234980874,62.8685443881193
34.66845927201526,46.31693700744011,35.76244971502399,65.80579676593119,35.82369847731548,67.60247859415581,35.12756972303355,53.97549053903199,35.32490595881819,58.68507473154214,35.54393064116385,61.68664337202318,35.67549135184425,63.88208732203442
